date,symbol,open,high,low,close,volume
2021-10-25,US3453708600,16.4,16.5,15.81,16.0,67808039
2021-10-22,US3453708600,16.42,16.54,16.23,16.28,60646754
2021-10-21,US3453708600,16.16,16.7,16.13,16.55,95854951
2021-10-20,US3453708600,15.43,16.16,15.37,16.04,105213717
2021-10-19,US3453708600,15.6,15.69,15.37,15.42,44668310
2021-10-18,US3453708600,15.57,15.65,15.485,15.56,48643809
2021-10-15,US3453708600,15.54,16.03,15.535,15.7,77211817
2021-10-14,US3453708600,15.62,15.62,15.37,15.45,50875110
2021-10-13,US3453708600,15.59,15.69,15.27,15.51,63363486
2021-10-12,US3453708600,15.11,15.68,15.01,15.64,89134009
2021-10-11,US3453708600,15.2,15.36,14.97,15.09,45302310
2021-10-08,US3453708600,14.92,15.49,14.85,15.12,99468887
2021-10-07,US3453708600,14.34,14.95,14.305,14.89,96557549
2021-10-06,US3453708600,14.14,14.34,13.89,14.12,61020278
2021-10-05,US3453708600,14.44,14.44,14.11,14.29,55915797
2021-10-04,US3453708600,14.27,14.79,14.22,14.35,78332497
2021-10-01,US3453708600,14.26,14.37,14.01,14.16,51880916
2021-09-30,US3453708600,14.26,14.32,14.09,14.16,78820537
2021-09-29,US3453708600,14.46,14.5,14.17,14.3,56805504
2021-09-28,US3453708600,14.63,14.73,14.23,14.31,107090949
2021-09-27,US3453708600,13.89,14.29,13.88,14.16,68769650
2021-09-24,US3453708600,13.66,13.94,13.64,13.78,57440218
2021-09-23,US3453708600,13.35,13.74,13.32,13.71,68708095
2021-09-22,US3453708600,12.92,13.39,12.905,13.23,75784038
2021-09-21,US3453708600,12.885,12.97,12.66,12.77,60473075
2021-09-20,US3453708600,13.07,13.19,12.63,12.82,126152174
2021-09-17,US3453708600,13.41,13.7,13.39,13.55,76337380
2021-09-16,US3453708600,13.18,13.53,13.1,13.4,76426063
2021-09-15,US3453708600,12.89,13.25,12.81,13.22,60282087
2021-09-14,US3453708600,12.93,13.06,12.79,12.86,47640810
2021-09-13,US3453708600,12.76,12.99,12.62,12.99,62270767
2021-09-10,US3453708600,12.84,12.93,12.66,12.68,48792472
2021-09-09,US3453708600,12.95,12.95,12.72,12.76,68806407
2021-09-08,US3453708600,12.97,13.22,12.91,13.03,57980882
2021-09-07,US3453708600,12.83,13.04,12.81,12.95,64008878
2021-09-03,US3453708600,12.99,13.05,12.87,12.89,41746597
2021-09-02,US3453708600,13.09,13.21,12.97,13.01,49322939
2021-09-01,US3453708600,13.03,13.22,12.9,13.11,58875686
2021-08-31,US3453708600,13.02,13.135,12.93,13.03,42212703
2021-08-30,US3453708600,13.35,13.37,13.03,13.05,42720093
2021-08-27,US3453708600,12.89,13.37,12.87,13.31,57587271
2021-08-26,US3453708600,13.11,13.13,12.81,12.9,57559820
2021-08-25,US3453708600,13.12,13.28,13.02,13.17,51195455
2021-08-24,US3453708600,12.81,13.14,12.76,13.08,53672503
2021-08-23,US3453708600,12.71,12.85,12.47,12.73,64573553
2021-08-20,US3453708600,12.61,12.67,12.38,12.57,53615575
2021-08-19,US3453708600,12.8,12.92,12.57,12.67,69038770
2021-08-18,US3453708600,12.95,13.21,12.9,13.0,50966744
2021-08-17,US3453708600,13.32,13.33,12.81,12.99,74625322
2021-08-16,US3453708600,13.5,13.56,13.32,13.46,38757778
2021-08-13,US3453708600,13.88,13.95,13.54,13.59,45118472
2021-08-12,US3453708600,13.92,14.05,13.79,13.9,38608652
2021-08-11,US3453708600,13.86,13.95,13.67,13.93,42795585
2021-08-10,US3453708600,13.77,13.91,13.66,13.82,32120825
2021-08-09,US3453708600,13.72,13.82,13.55,13.75,38760378
2021-08-06,US3453708600,13.82,13.91,13.73,13.8,44450636
2021-08-05,US3453708600,13.54,13.82,13.45,13.71,60524396
2021-08-04,US3453708600,13.85,13.93,13.3,13.32,81502700
2021-08-03,US3453708600,13.9699,14.08,13.64,14.02,53257695
2021-08-02,US3453708600,14.02,14.33,13.88,13.91,64673717
2021-07-30,US3453708600,14.23,14.3,13.87,13.95,74955713
2021-07-29,US3453708600,14.51,14.79,14.3,14.39,111154778
2021-07-28,US3453708600,13.86,13.99,13.565,13.86,70653462
2021-07-27,US3453708600,13.93,13.955,13.65,13.79,41963237
2021-07-26,US3453708600,13.9,14.0815,13.87,14.03,43838035
2021-07-23,US3453708600,13.97,14.04,13.73,13.82,37927867
2021-07-22,US3453708600,14.08,14.14,13.78,13.91,40440124
2021-07-21,US3453708600,14.05,14.34,14.03,14.19,53817490
2021-07-20,US3453708600,13.37,13.96,13.28,13.91,70731783
2021-07-19,US3453708600,13.25,13.32,12.7901,13.28,99949231
2021-07-16,US3453708600,14.12,14.14,13.58,13.61,48065197
2021-07-15,US3453708600,14.15,14.3,13.94,14.01,44952312
2021-07-14,US3453708600,14.43,14.63,14.2,14.25,39056159
2021-07-13,US3453708600,14.5,14.625,14.295,14.42,45360600
2021-07-12,US3453708600,14.36,14.74,14.24,14.61,49205150
2021-07-09,US3453708600,14.445,14.575,14.27,14.48,65981221
2021-07-08,US3453708600,13.9597,14.23,13.735,14.06,62706837
2021-07-07,US3453708600,14.41,14.46,14.02,14.23,72992469
2021-07-06,US3453708600,14.87,14.88,14.39,14.5,73990625
2021-07-02,US3453708600,14.96,15.04,14.83,14.93,43824909
2021-07-01,US3453708600,14.91,14.97,14.84,14.91,51112228
2021-06-30,US3453708600,14.95,15.11,14.81,14.86,72213527
2021-06-29,US3453708600,15.05,15.2,14.875,15.01,68208165
2021-06-28,US3453708600,15.2,15.21,14.83,14.96,79477432
2021-06-25,US3453708600,15.24,15.52,15.18,15.19,111760462
2021-06-24,US3453708600,15.54,15.55,15.15,15.26,79859804
2021-06-23,US3453708600,15.14,15.53,15.03,15.42,94985665
2021-06-22,US3453708600,15.02,15.11,14.815,14.91,65545914
2021-06-21,US3453708600,14.63,14.9,14.55,14.78,63384994
2021-06-18,US3453708600,14.54,14.765,14.44,14.52,76319715
2021-06-17,US3453708600,15.3,15.4,14.58,14.77,126653125
2021-06-16,US3453708600,15.1,15.29,14.88,15.02,69112883
2021-06-15,US3453708600,14.91,15.16,14.76,15.0,62612748
2021-06-14,US3453708600,15.23,15.3,14.815,14.87,82666035
2021-06-11,US3453708600,15.3,15.43,15.17,15.28,50613467
2021-06-10,US3453708600,15.59,15.78,15.08,15.11,78147471
2021-06-09,US3453708600,15.6,15.62,15.39,15.48,60079052
2021-06-08,US3453708600,15.76,15.8,15.33,15.63,93891092
2021-06-07,US3453708600,16.01,16.2,15.65,15.88,90915337
2021-06-04,US3453708600,16.33,16.455,15.795,15.97,151787957
2021-06-03,US3453708600,15.15,16.06,14.985,15.99,179671434
2021-06-02,US3453708600,14.9,15.02,14.68,14.91,77517193
2021-06-01,US3453708600,14.72,14.835,14.46,14.81,89070986
2021-05-28,US3453708600,15.01,15.05,14.41,14.53,152105344
2021-05-27,US3453708600,14.38,15.05,14.12,14.88,278939123
2021-05-26,US3453708600,13.16,13.95,13.1,13.9,227538655
2021-05-25,US3453708600,13.13,13.43,12.8,12.81,113383362
2021-05-24,US3453708600,13.38,13.38,12.92,13.06,111374304
2021-05-21,US3453708600,12.7,13.47,12.57,13.33,200958563
2021-05-20,US3453708600,12.52,12.69,12.3,12.49,106243905
2021-05-19,US3453708600,12.03,12.21,11.85,12.11,70220759
2021-05-18,US3453708600,12.29,12.53,12.13,12.14,72472888
2021-05-17,US3453708600,11.82,12.18,11.79,12.15,52201744
2021-05-14,US3453708600,11.65,11.87,11.62,11.84,48619221
2021-05-13,US3453708600,11.36,11.68,11.35,11.55,56598472
2021-05-12,US3453708600,11.54,11.68,11.28,11.33,55663086
2021-05-11,US3453708600,11.45,11.76,11.42,11.58,56882624
2021-05-10,US3453708600,11.78,11.93,11.7,11.71,51703508
2021-05-07,US3453708600,11.65,11.83,11.52,11.82,41525840
2021-05-06,US3453708600,11.55,11.76,11.48,11.74,50032823
2021-05-05,US3453708600,11.5,11.64,11.5,11.61,41381316
2021-05-04,US3453708600,11.53,11.55,11.23,11.41,71007685
2021-05-03,US3453708600,11.56,11.68,11.43,11.63,61987297
2021-04-30,US3453708600,11.36,11.54,11.33,11.54,90786462
2021-04-29,US3453708600,11.91,11.91,11.14,11.26,230430629
2021-04-28,US3453708600,12.6,12.6,12.385,12.43,68023415
2021-04-27,US3453708600,12.29,12.5,12.27,12.49,42037752
2021-04-26,US3453708600,12.28,12.4414,12.23,12.27,40863760
2021-04-23,US3453708600,11.97,12.24,11.87,12.22,51898945
2021-04-22,US3453708600,12.06,12.15,11.83,11.94,73064376
2021-04-21,US3453708600,11.36,11.74,11.18,11.73,49641132
2021-04-20,US3453708600,12.06,12.06,11.35,11.45,83170803
2021-04-19,US3453708600,12.22,12.25,12.02,12.11,39063481
2021-04-16,US3453708600,12.32,12.36,12.19,12.23,33132872
2021-04-15,US3453708600,12.3,12.32,12.125,12.24,38209311
2021-04-14,US3453708600,12.2,12.49,12.2,12.24,49877492
2021-04-13,US3453708600,12.39,12.445,12.1,12.2,51555966
2021-04-12,US3453708600,12.5,12.55,12.32,12.38,40422762
2021-04-09,US3453708600,12.49,12.62,12.39,12.51,40555411
2021-04-08,US3453708600,12.67,12.76,12.43,12.51,52621966
2021-04-07,US3453708600,12.87,12.93,12.66,12.73,42264039
2021-04-06,US3453708600,12.7,12.99,12.64,12.92,67499426
2021-04-05,US3453708600,12.39,12.78,12.33,12.7,82332728
2021-04-01,US3453708600,12.28,12.29,12.02,12.17,61907459
2021-03-31,US3453708600,12.46,12.54,12.21,12.25,60456889
2021-03-30,US3453708600,12.16,12.48,12.11,12.46,49762308
2021-03-29,US3453708600,12.2,12.36,12.065,12.15,44747925
2021-03-26,US3453708600,12.43,12.49,12.06,12.3,49239811
2021-03-25,US3453708600,11.94,12.35,11.72,12.32,54201830
2021-03-24,US3453708600,12.36,12.53,12.12,12.14,54534406
2021-03-23,US3453708600,12.57,12.68,12.12,12.21,73020161
2021-03-22,US3453708600,12.85,12.93,12.51,12.85,81362146
2021-03-19,US3453708600,12.85,12.95,12.55,12.83,90885155
2021-03-18,US3453708600,12.7,13.01,12.44,12.49,76733254
2021-03-17,US3453708600,12.34,12.7,12.22,12.69,109324385
2021-03-16,US3453708600,13.06,13.15,12.43,12.49,125425273
